team,conference,offense.ppa,offense.successRate,offense.explosiveness,defense.ppa,defense.successRate,defense.explosiveness
Delaware,Conference USA,0.2372749534102114,0.4484076433121019,1.3297842256084675,0.08003910703251232,0.39143730886850153,1.284509643060145
Washington,Big Ten,0.2365113804302708,0.46618357487922707,1.1685279535569273,0.13125672088776952,0.42839951865222625,1.1532326198728176
LSU,SEC,0.23637252865128844,0.44039735099337746,1.289803843669534,0.170520417762022,0.41366459627329194,1.3570654403365192
Illinois,Big Ten,0.23598946892437372,0.4449877750611247,1.3004377059541006,0.16502316811612538,0.4597826086956522,1.088759175416141
Auburn,SEC,0.23549634257284402,0.4583333333333333,1.2438943111363248,0.07988431997667658,0.3705080545229244,1.2887208634687157
SMU,ACC,0.23466349956902283,0.43302180685358255,1.3703589511840404,0.025823464959031168,0.36907216494845363,1.2476989261553264
Colorado,Big 12,0.23237235231641443,0.44499381953028433,1.321979182656913,0.0757291374202908,0.37919463087248323,1.2639648346549162
Georgia,SEC,0.23193102859825876,0.46153846153846156,1.2192178740647832,0.10642435791536829,0.3815789473684211,1.2220280505360088
NC State,ACC,0.22872682942007502,0.44528301886792454,1.3307069167335928,0.18109423720255527,0.40384615384615385,1.3734068736749312
Old Dominion,Sun Belt,0.22819426192430398,0.4267834793491865,1.3484871215662746,0.17114721723062754,0.39176470588235296,1.3665871665483125
North Texas,American Athletic,0.22725102531021096,0.41764080765143463,1.490991518176987,0.22084107338968068,0.4395833333333333,1.2931502310943215
Ohio,Mid-American,0.2259305401456517,0.46094609460946095,1.2121469777262979,0.09142360680550722,0.3772032902467685,1.2821622251273828
Liberty,Conference USA,0.2259289667036912,0.4834761321909425,1.1112149515140777,0.09899006969569073,0.38223938223938225,1.3110131872209347
Baylor,Big 12,0.22379567611620896,0.46408839779005523,1.279877695232616,0.16772974286360445,0.3888255416191562,1.3408622229012728
USC,Big Ten,0.22241373364346836,0.4799554565701559,1.2177092124475128,0.17052515275925084,0.4420289855072464,1.1328619519601395
Texas,SEC,0.22144527116982105,0.45698924731182794,1.2831614582056277,0.01757584808419271,0.380859375,1.0696391053716787
UNLV,Mountain West,0.2209798000994151,0.4296619411123228,1.3089507209538584,0.12260379662280073,0.38598326359832635,1.2795220058127543
Bowling Green,Mid-American,0.22055092333404935,0.4265402843601896,1.279754058973845,0.11599393081264993,0.3739130434782609,1.309046090109078
Troy,Sun Belt,0.21973832812388783,0.4444444444444444,1.2347500991812261,0.17489405503556793,0.42955801104972374,1.2346518340074475
South Carolina,SEC,0.21797407063435872,0.4372955288985823,1.2937308206781988,0.06509530781318071,0.41169590643274856,1.09225552280328
UCF,Big 12,0.21717497325494298,0.4731051344743276,1.243032050432255,0.1382976473728789,0.38471337579617837,1.3280769389528295
Nevada,Mountain West,0.21456244588389983,0.45102781136638453,1.228131323061017,0.24479828320977665,0.47002398081534774,1.246392709106633
Texas A&M,SEC,0.21299230334116248,0.4544405997693195,1.1930550120246985,0.13630829768885566,0.3773364485981308,1.430199649781857
North Carolina,ACC,0.20977422740688648,0.4214689265536723,1.3296754959891277,0.16770785316635384,0.4069364161849711,1.2564281235201713
West Virginia,Big 12,0.20913820598322277,0.4311310190369541,1.3552655880405393,0.2871185564382051,0.44727272727272727,1.428581653264976
Minnesota,Big Ten,0.20810655560000316,0.44649446494464945,1.1853966446694972,0.04743023562235254,0.38002594033722437,1.1719544557553145
Marshall,Sun Belt,0.20298444409928795,0.42909987669543775,1.274833774562412,0.12421049138727246,0.4002267573696145,1.2838324330691877
East Carolina,American Athletic,0.20254408212075514,0.4364454443194601,1.3237071997665133,0.15249057554994935,0.38965153115100315,1.3368552950992434
BYU,Big 12,0.20074810768791373,0.4412470023980815,1.2814716284791166,0.11903431960495524,0.4093711467324291,1.201082646835153
Florida,SEC,0.20008222610293505,0.44125,1.2171658158836791,0.13140472033282627,0.42826321467098166,1.198085877917999
Iowa State,Big 12,0.196765155613953,0.4066937119675456,1.379216776284427,0.167220632395447,0.4197674418604651,1.2877693814993814
Western Kentucky,Conference USA,0.19656997461434536,0.4174972314507198,1.3082102770954203,0.22392572127372481,0.4518201284796574,1.1891420740078142
Oklahoma State,Big 12,0.1920448253929542,0.42,1.258327831051744,0.3101042743898098,0.45153933865450396,1.475830466977497
Cincinnati,Big 12,0.19167178299191207,0.44430844553243576,1.255239936221205,0.17341847518462697,0.4209827357237716,1.2686127637428422
App State,Sun Belt,0.19079451997102842,0.4385510996119017,1.3095201618176562,0.2837965506438679,0.48405797101449277,1.2221910652730221
San José State,Mountain West,0.183389428994939,0.4385150812064965,1.298473422005991,0.09843187318765985,0.4057971014492754,1.2273904372112905
Mississippi State,SEC,0.18149896343349495,0.39869281045751637,1.4106797038031174,0.27963988985524,0.5005847953216375,1.1133516849766332
Georgia Southern,Sun Belt,0.18088351708354175,0.42531356898517675,1.2625460866703275,0.23663206369680778,0.45933562428407787,1.2622956855959457
Missouri,SEC,0.1795790085702344,0.44127332601536773,1.1644682566991593,0.11062034185617091,0.39920424403183025,1.249438067508226
